"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"27"	"Bacteroides thetaiotaomicron"	"Dysbiosis"	"CD"	"dysbiosis_statedysbiosis_CD"	-2.05730435377746	0	0.239353642651514	8.30838472902755e-18	5.07330742516245e-16	1.66167694580551e-17	6.49900316581712e-16	NA	"prevalence"	1527	1062
"28"	"Lacrimispora amygdalina"	"Age"	"Age"	"age"	-0.490742803277601	0	0.0576796646885697	1.76847698320534e-17	1.04715273490401e-15	3.53695396641067e-17	1.33393692447488e-15	NA	"prevalence"	1527	865
"29"	"Anaerostipes hadrus"	"Dysbiosis"	"CD"	"dysbiosis_statedysbiosis_CD"	-2.00089705073568	0	0.236827896734184	2.94466328462588e-17	1.59829779393305e-15	5.88932656925177e-17	2.00617059907415e-15	NA	"prevalence"	1527	1128
"30"	"Bacteroides intestinalis"	"Age"	"Age"	"age"	0.667370374903454	0	0.0789696823967667	2.88893802866339e-17	1.59829779393305e-15	5.77787605732681e-17	2.00617059907415e-15	NA	"prevalence"	1527	158
"31"	"GGB9342 SGB14306"	"Age"	"Age"	"age"	0.804139092158702	0	0.0958467160502985	4.86783503243169e-17	2.57074314955987e-15	4.86783503243169e-17	1.77256337732685e-15	NA	"prevalence"	1527	92
"32"	"Candidatus Cibionibacter quicibialis"	"Dysbiosis"	"CD"	"dysbiosis_statedysbiosis_CD"	-2.08935377985834	0	0.250379488214661	7.13657840171801e-17	3.57560876845051e-15	1.4273156803436e-16	4.71014174513389e-15	NA	"prevalence"	1527	933
"33"	"Bacteroides eggerthii"	"Read depth"	"Read depth"	"reads"	0.552230762831585	0	0.066813745179718	1.39429308388375e-16	6.81112171477211e-15	2.7885861677675e-16	8.92347573685599e-15	NA	"prevalence"	1527	409
"34"	"Veillonella dispar"	"Age"	"Age"	"age"	-0.527221869668846	0	0.0642311293655203	2.24531506547714e-16	1.07008430193716e-14	4.49063013095428e-16	1.39473688773168e-14	NA	"prevalence"	1527	526
"35"	"Haemophilus parainfluenzae"	"Age"	"Age"	"age"	-0.473498884769755	0	0.0580115331490337	3.29110806724484e-16	1.53114884842772e-14	6.58221613448968e-16	1.9859486394346e-14	NA	"prevalence"	1527	674
"36"	"Bacteroides caccae"	"Dysbiosis"	"CD"	"dysbiosis_statedysbiosis_CD"	-1.92045033141674	0	0.238101054374111	7.28207834780855e-16	3.30911188177161e-14	1.45641566956172e-15	4.27215263071437e-14	NA	"prevalence"	1527	958
"37"	"Clostridium sp. AF34 10BH"	"Dysbiosis"	"CD"	"dysbiosis_statedysbiosis_CD"	-2.32598487705993	0	0.28889653047911	8.19371769017192e-16	3.63875553786271e-14	1.63874353803439e-15	4.67706263828194e-14	NA	"prevalence"	1527	960
"38"	"Flavonifractor plautii"	"Read depth"	"Read depth"	"reads"	0.610651617235571	0	0.0766301113808322	1.60195691657354e-15	6.95605292218822e-14	3.20391383314708e-15	8.67521284052131e-14	NA	"prevalence"	1527	1224
"39"	"Escherichia coli"	"Dysbiosis"	"CD"	"dysbiosis_statedysbiosis_CD"	3.53316971938005	-0.218203238148827	0.386785749222687	2.88657986402541e-15	1.22616892484905e-13	2.88657986402541e-15	8.02165351687061e-14	NA	"abundance"	1527	707
"40"	"Bacteroides ovatus"	"Dysbiosis"	"UC"	"dysbiosis_statedysbiosis_UC"	-2.9675113987018	0	0.378504407592304	4.50197310135384e-15	1.87167137022243e-13	9.0039462027077e-15	2.37704179751483e-13	NA	"prevalence"	1527	1176
"41"	"Bifidobacterium adolescentis"	"Diagnosis"	"CD"	"diagnosisCD"	-1.16784820511269	0	0.151190145061628	1.1241031922436e-14	4.57603674509166e-13	2.24820638448719e-14	5.79050229760602e-13	NA	"prevalence"	1527	427
"42"	"Clostridiales bacterium"	"Read depth"	"Read depth"	"reads"	0.507991262659046	0	0.0659644885899088	1.350257390144e-14	5.38449579661504e-13	2.70051478028797e-14	6.78986573329547e-13	NA	"prevalence"	1527	985
"43"	"GGB9713 SGB15249"	"Diagnosis"	"UC"	"diagnosisUC"	-1.43590471626305	0	0.186937600861644	1.5760772106312e-14	6.15930973914672e-13	3.15215442126236e-14	7.74110481128617e-13	NA	"prevalence"	1527	329
"44"	"Clostridium symbiosum"	"Diagnosis"	"UC"	"diagnosisUC"	1.24796785301432	0	0.163255979820422	2.10183432388165e-14	8.05291033110733e-13	4.20366864776324e-14	9.86460909341773e-13	NA	"prevalence"	1527	539
"45"	"Odoribacter splanchnicus"	"Dysbiosis"	"CD"	"dysbiosis_statedysbiosis_CD"	-1.95587588914198	0	0.25717770402721	2.84566165092546e-14	1.04913638979403e-12	5.69132330185083e-14	1.30652987103358e-12	NA	"prevalence"	1527	757
"46"	"Veillonella parvula"	"Dysbiosis"	"CD"	"dysbiosis_statedysbiosis_CD"	4.05455092654966	-0.218203238148827	0.48777340670793	3.94129173741931e-14	1.42616371387358e-12	3.94129173741931e-14	9.45910016980633e-13	NA	"abundance"	1527	547
"47"	"Veillonella parvula"	"Age"	"Age"	"age"	-0.462668655010271	0	0.0614699010142759	5.20183290014423e-14	1.84806936125124e-12	1.04036658002882e-13	2.33750448619241e-12	NA	"prevalence"	1527	547
"48"	"Vescimonas coprocola"	"Diagnosis"	"UC"	"diagnosisUC"	-1.12327242940779	0	0.149406384637398	5.55203037867337e-14	1.93726202855853e-12	1.11040607573464e-13	2.44289336661621e-12	NA	"prevalence"	1527	599
"49"	"Odoribacter splanchnicus"	"Diagnosis"	"UC"	"diagnosisUC"	-1.11168846118177	0	0.148837110014618	8.07072341624673e-14	2.71899888885278e-12	1.61414468324928e-13	3.47864650104334e-12	NA	"prevalence"	1527	757
"50"	"Blautia wexlerae"	"Read depth"	"Read depth"	"reads"	0.657396395548862	0	0.0880803041046774	8.41882006659178e-14	2.78819905256277e-12	1.68376401331828e-13	3.55610959612822e-12	NA	"prevalence"	1527	1302
"51"	"Blautia faecis"	"Read depth"	"Read depth"	"reads"	0.527824518957148	0	0.0707520466379199	8.63903110181698e-14	2.8134444621584e-12	1.72780622036332e-13	3.57757523275228e-12	NA	"prevalence"	1527	1125
"52"	"Roseburia sp. AF02 12"	"Diagnosis"	"UC"	"diagnosisUC"	-1.22100355194971	0	0.164616584467821	1.1957058004108e-13	3.83017890820115e-12	2.39141160082146e-13	4.8564050970528e-12	NA	"prevalence"	1527	363
"53"	"Coprococcus comes"	"Dysbiosis"	"CD"	"dysbiosis_statedysbiosis_CD"	-2.51914731620594	0	0.341044013224675	1.50658737777688e-13	4.74818021963874e-12	3.01317475555352e-13	6.00360856955569e-12	NA	"prevalence"	1527	759
"54"	"Firmicutes bacterium AF16 15"	"Diagnosis"	"CD"	"diagnosisCD"	-1.16457278864629	0	0.15798943617334	1.69090447067785e-13	5.24448783445163e-12	3.38180894135542e-13	6.61331526309504e-12	NA	"prevalence"	1527	827
"55"	"Dialister invisus"	"Age"	"Age"	"age"	-0.415727318114717	0	0.0566862960551625	2.23676813383434e-13	6.82913270861297e-12	4.47353626766817e-13	8.58918963392289e-12	NA	"prevalence"	1527	726
"56"	"Bilophila wadsworthia"	"Dysbiosis"	"CD"	"dysbiosis_statedysbiosis_CD"	-2.14723383540997	0	0.293076045345147	2.36167924647501e-13	7.09957115017257e-12	4.72335849294945e-13	8.90690458670468e-12	NA	"prevalence"	1527	764
"57"	"Alistipes shahii"	"Diagnosis"	"UC"	"diagnosisUC"	-1.07708382249983	0	0.148519174393121	4.10197183833026e-13	1.19630641374587e-11	8.20394367665882e-13	1.51988851272837e-11	NA	"prevalence"	1527	673
"58"	"Parabacteroides distasonis"	"Dysbiosis"	"UC"	"dysbiosis_statedysbiosis_UC"	-2.8849606965823	0	0.399901698315178	5.42620744548184e-13	1.53663903601036e-11	1.08524148909607e-12	1.97588795256112e-11	NA	"prevalence"	1527	1140
"59"	"Alistipes onderdonkii"	"Diagnosis"	"UC"	"diagnosisUC"	-1.09221696818463	0	0.151910569105113	6.48539023310039e-13	1.78485246696875e-11	1.29707804661965e-12	2.32154985971247e-11	NA	"prevalence"	1527	831
"60"	"Blautia wexlerae"	"Dysbiosis"	"CD"	"dysbiosis_statedysbiosis_CD"	-1.66401963032286	0	0.233823616064911	1.10654577093227e-12	3.00304227278008e-11	2.21309154186332e-12	3.89504111367943e-11	NA	"prevalence"	1527	1302
"61"	"Alistipes communis"	"Age"	"Age"	"age"	0.42291130611774	0	0.059593878271291	1.27903952253278e-12	3.42362085894391e-11	2.55807904506392e-12	4.4284122485041e-11	NA	"prevalence"	1527	407
"62"	"Ruminococcus lactaris"	"Diagnosis"	"CD"	"diagnosisCD"	-1.09796410841328	0	0.15565813407815	1.74235247075371e-12	4.60075233493616e-11	3.48470494150439e-12	5.93523938423973e-11	NA	"prevalence"	1527	379
"63"	"GGB9713 SGB15249"	"Age"	"Age"	"age"	0.438446861616058	0	0.0622369623819675	1.85730031116817e-12	4.77521685266133e-11	3.71460062233288e-12	6.2263781860056e-11	NA	"prevalence"	1527	329
"64"	"Eubacterium rectale"	"Abx"	"Used"	"antibioticsYes"	-1.40545105091999	0	0.20093257524649	2.65940690684724e-12	6.74867674802533e-11	5.31881381368739e-12	8.77604279258419e-11	NA	"prevalence"	1527	1211
"65"	"Blautia obeum"	"Read depth"	"Read depth"	"reads"	0.416940807998322	0	0.0596816166095911	2.82664163548149e-12	7.0810996868344e-11	5.65328327095498e-12	9.18441097558225e-11	NA	"prevalence"	1527	899
"66"	"Clostridiaceae bacterium"	"Dysbiosis"	"CD"	"dysbiosis_statedysbiosis_CD"	-1.55030391117108	0	0.222606282816419	3.29967188400338e-12	8.1614669130919e-11	6.59934376799586e-12	1.05589500287934e-10	NA	"prevalence"	1527	1109
"67"	"Akkermansia muciniphila"	"Age"	"Age"	"age"	0.402884843658068	0	0.0579712445775997	3.65970498146367e-12	8.938829417225e-11	7.31940996291392e-12	1.15362640609509e-10	NA	"prevalence"	1527	407
"68"	"Ruthenibacterium lactatiformans"	"Read depth"	"Read depth"	"reads"	0.404201713987728	0	0.0582452939818321	3.93084044597641e-12	9.48254596473815e-11	7.86168089193735e-12	1.22087279733615e-10	NA	"prevalence"	1527	797
"69"	"Gemmiger formicilis"	"Diagnosis"	"CD"	"diagnosisCD"	-0.947778210536067	0	0.139698396277238	1.16521345405813e-11	2.64747335956928e-10	2.33042690810267e-11	3.56656639848757e-10	NA	"prevalence"	1527	472
"70"	"Eubacterium rectale"	"Dysbiosis"	"UC"	"dysbiosis_statedysbiosis_UC"	-2.59224100757678	0	0.382744096082115	1.26332243612112e-11	2.83739314963296e-10	2.52664487222628e-11	3.81162426438708e-10	NA	"prevalence"	1527	1211
"71"	"Clostridiaceae bacterium"	"Read depth"	"Read depth"	"reads"	0.459792370167278	0	0.0679984006036621	1.36276896993157e-11	3.02596655368895e-10	2.72553793984456e-11	4.05375783728993e-10	NA	"prevalence"	1527	1109
"72"	"Clostridium sp. AF34 10BH"	"Read depth"	"Read depth"	"reads"	0.432535160953567	0	0.064057306759689	1.45503790162731e-11	3.194543887393e-10	2.91007580323345e-11	4.26811117807572e-10	NA	"prevalence"	1527	960
"73"	"Oscillibacter sp. ER4"	"Age"	"Age"	"age"	0.384560759107731	0	0.0571833404569206	1.75533518857811e-11	3.81102773164625e-10	3.5106703771254e-11	5.07844920307455e-10	NA	"prevalence"	1527	458
"74"	"Dorea longicatena"	"Dysbiosis"	"CD"	"dysbiosis_statedysbiosis_CD"	-1.50738546543997	0	0.224272301693768	1.80198308535173e-11	3.86931313052448e-10	3.60396617067098e-11	5.1429571300386e-10	NA	"prevalence"	1527	1020
"75"	"Ruminococcus bicirculans"	"Diagnosis"	"CD"	"diagnosisCD"	-0.903379163423745	0	0.136807077874152	4.02085097880568e-11	8.44811055116806e-10	8.04170195744968e-11	1.11737332461406e-09	NA	"prevalence"	1527	678
"76"	"Lachnospira sp. NSJ 43"	"Diagnosis"	"UC"	"diagnosisUC"	-1.12963506188417	0	0.171325002529533	4.29514956093764e-11	8.92842791709803e-10	8.5902991216908e-11	1.17809816526045e-09	NA	"prevalence"	1527	296
"77"	"Bacteroides xylanisolvens"	"Diagnosis"	"UC"	"diagnosisUC"	-2.50891623190582	0.0724275054371195	0.326415900916541	4.35629310402419e-11	8.96020707922449e-10	4.35629310402419e-11	6.13366069046606e-10	NA	"abundance"	1527	959
"78"	"Enterocloster bolteae"	"Dysbiosis"	"CD"	"dysbiosis_statedysbiosis_CD"	2.74885458525168	-0.218203238148827	0.365500529550211	5.08983966085452e-11	1.03409581917181e-09	1.017967932145e-10	1.37238126202257e-09	NA	"abundance"	1527	866
"79"	"Enterocloster bolteae"	"Diagnosis"	"UC"	"diagnosisUC"	0.975270754756839	0	0.148510541353228	5.13343369803814e-11	1.03409581917181e-09	1.02668673958128e-10	1.37238126202257e-09	NA	"prevalence"	1527	866
"80"	"Anaerostipes hadrus"	"Abx"	"Used"	"antibioticsYes"	-1.2763111589527	0	0.194412615954771	5.20466310502171e-11	1.0377460925727e-09	1.04093262097725e-10	1.37403105968997e-09	NA	"prevalence"	1527	1128
"81"	"Alistipes shahii"	"Diagnosis"	"CD"	"diagnosisCD"	-0.898053197805288	0	0.136976576730745	5.5176304653169e-11	1.08903534638679e-09	1.10352609303293e-10	1.43867105462071e-09	NA	"prevalence"	1527	673
"82"	"Clostridium sp. 1001270H 150608 G6"	"Diagnosis"	"CD"	"diagnosisCD"	-1.41571819534831	0	0.216008410430393	5.60175767017732e-11	1.09458344875265e-09	1.12035153400408e-10	1.44279417061989e-09	NA	"prevalence"	1527	141
"83"	"Roseburia hominis"	"Diagnosis"	"UC"	"diagnosisUC"	-1.02876876208489	0	0.157753535088926	6.96692938205993e-11	1.33464509926913e-09	1.39338587636345e-10	1.77278974149374e-09	NA	"prevalence"	1527	876
"84"	"Flavonifractor plautii"	"Age"	"Age"	"age"	-0.418556325150903	0	0.0642056087091602	7.07779335389068e-11	1.34271924402936e-09	1.41555867072804e-10	1.77955947177239e-09	NA	"prevalence"	1527	1224
"85"	"Enterocloster bolteae"	"Diagnosis"	"CD"	"diagnosisCD"	0.880867473865516	0	0.13612510792159	9.73474384733453e-11	1.81158947406587e-09	1.94694876937214e-10	2.41879752994939e-09	NA	"prevalence"	1527	866
"86"	"Collinsella SGB14861"	"Dysbiosis"	"CD"	"dysbiosis_statedysbiosis_CD"	-2.28743358196434	0	0.35400878146219	1.03658851484857e-10	1.91084335661707e-09	2.07317702958967e-10	2.54566853865895e-09	NA	"prevalence"	1527	593
"87"	"Blautia obeum"	"Dysbiosis"	"CD"	"dysbiosis_statedysbiosis_CD"	-1.52922093913241	0	0.237325760903327	1.16709069557392e-10	2.13130394313219e-09	2.33418139101164e-10	2.83321327460723e-09	NA	"prevalence"	1527	899
"88"	"Alistipes finegoldii"	"Diagnosis"	"UC"	"diagnosisUC"	-0.952125681375197	0	0.147971725631546	1.23871550099116e-10	2.20585620146455e-09	2.47743100182888e-10	2.94679029298832e-09	NA	"prevalence"	1527	639
"89"	"Clostridium fessum"	"Read depth"	"Read depth"	"reads"	0.404954381207481	0	0.0629384308387789	1.24178189437616e-10	2.20585620146455e-09	2.48356378859811e-10	2.94679029298832e-09	NA	"prevalence"	1527	926
"90"	"GGB33469 SGB15236"	"Diagnosis"	"UC"	"diagnosisUC"	-1.1841147788213	0	0.18562794595044	1.78284957005312e-10	3.11043576775339e-09	3.56569913978839e-10	4.13777834243576e-09	NA	"prevalence"	1527	293
"91"	"GGB3175 SGB4191"	"Diagnosis"	"UC"	"diagnosisUC"	-1.86332142313712	0	0.29337941642426	2.13594038502769e-10	3.69347567464079e-09	4.27188076959914e-10	4.90337618771379e-09	NA	"prevalence"	1527	154
"92"	"Roseburia inulinivorans"	"Abx"	"Used"	"antibioticsYes"	-1.26125212230481	0	0.198736033587669	2.20456678775147e-10	3.77870482742664e-09	4.40913357501693e-10	5.00650005937406e-09	NA	"prevalence"	1527	951
"93"	"GGB9453 SGB14844"	"Age"	"Age"	"age"	0.431435390774637	0	0.0681484324442692	2.43863283920768e-10	4.14355527635809e-09	4.87726567782064e-10	5.47914101678575e-09	NA	"prevalence"	1527	222
"94"	"Lacrimispora celerecrescens"	"Dysbiosis"	"CD"	"dysbiosis_statedysbiosis_CD"	-2.06738039971956	0	0.326658159210444	2.46946524410449e-10	4.15977162670704e-09	4.93893048759914e-10	5.49001115253125e-09	NA	"prevalence"	1527	756
"95"	"Ruminococcus gnavus"	"Dysbiosis"	"CD"	"dysbiosis_statedysbiosis_CD"	2.51636556482631	-0.218203238148827	0.341437467303342	2.77075584698139e-10	4.62739908119798e-09	2.77075584698139e-10	3.25102019379149e-09	NA	"abundance"	1527	767
"96"	"Clostridium sp. AM22 11AC"	"Read depth"	"Read depth"	"reads"	0.361727397169615	0	0.0576958395038867	3.62075013380451e-10	5.99571674699493e-09	7.24150026629803e-10	7.96565029292783e-09	NA	"prevalence"	1527	730
"97"	"Bilophila wadsworthia"	"Read depth"	"Read depth"	"reads"	0.373932448579941	0	0.0598587188954	4.18633373879678e-10	6.87403035765454e-09	8.37266747584101e-10	9.11498644792589e-09	NA	"prevalence"	1527	764
"98"	"Dialister invisus"	"Abx"	"Used"	"antibioticsYes"	-1.2992076655848	0	0.208195004286929	4.366200966424e-10	7.10963057366041e-09	8.73240193094162e-10	9.40960861130035e-09	NA	"prevalence"	1527	726
"99"	"Dysosmobacter welbionis"	"Dysbiosis"	"UC"	"dysbiosis_statedysbiosis_UC"	-2.35476715013347	0	0.377636712665423	4.50235061593064e-10	7.27073810208964e-09	9.00470122983415e-10	9.60501464515643e-09	NA	"prevalence"	1527	1191
"100"	"Ruminococcus bromii"	"Diagnosis"	"UC"	"diagnosisUC"	-1.00068210292534	0	0.160584443712045	4.61987387759432e-10	7.39937176788467e-09	9.23974775305428e-10	9.75717362722532e-09	NA	"prevalence"	1527	429
"101"	"Clostridium sp. AM22 11AC"	"Dysbiosis"	"CD"	"dysbiosis_statedysbiosis_CD"	-1.90703320983451	0	0.306979196354297	5.22294009861316e-10	8.29725605909766e-09	1.04458801944984e-09	1.07095626071751e-08	NA	"prevalence"	1527	730
"102"	"Faecalibacterium prausnitzii"	"Dysbiosis"	"UC"	"dysbiosis_statedysbiosis_UC"	-2.83444220146166	0	0.45996069593685	7.1669860445062e-10	1.11802012978878e-08	1.43339720838758e-09	1.455449473132e-08	NA	"prevalence"	1527	1374
"103"	"Lacrimispora amygdalina"	"Dysbiosis"	"CD"	"dysbiosis_statedysbiosis_CD"	-1.62620575821068	0	0.26443022373522	7.75570978896504e-10	1.19328007304234e-08	1.5511419571915e-09	1.56000562551831e-08	NA	"prevalence"	1527	865
"104"	"Phocaeicola vulgatus"	"Dysbiosis"	"UC"	"dysbiosis_statedysbiosis_UC"	-2.24771045845211	0	0.365799719873122	8.01411168983038e-10	1.22340423765067e-08	1.60282233732381e-09	1.59677395114523e-08	NA	"prevalence"	1527	1288
"105"	"Prevotella copri clade A"	"Read depth"	"Read depth"	"reads"	0.420723165128971	0	0.0686975805908748	9.10950295658426e-10	1.37984254086555e-08	1.82190059048702e-09	1.79806263883579e-08	NA	"prevalence"	1527	289
"106"	"Oscillospiraceae bacterium"	"Age"	"Age"	"age"	0.614959980527969	0	0.100477326667829	9.33491981694482e-10	1.40311025556232e-08	1.86698396251755e-09	1.82549543001716e-08	NA	"prevalence"	1527	81
"107"	"Clostridium sp. AF20 17LB"	"Diagnosis"	"UC"	"diagnosisUC"	2.15438362877583	0.0724275054371195	0.262448339652515	9.72171676494327e-10	1.45009424112207e-08	9.72171676494327e-10	1.01644880235446e-08	NA	"abundance"	1527	654
"108"	"Bacteroides uniformis"	"Dysbiosis"	"CD"	"dysbiosis_statedysbiosis_CD"	-3.12253792320041	-0.218203238148827	0.395939450694019	1.03562358688691e-09	1.53303673392199e-08	1.03562358688691e-09	1.07095626071751e-08	NA	"abundance"	1527	1244
"109"	"Roseburia hominis"	"Read depth"	"Read depth"	"reads"	0.36280646433289	0	0.0595404197458558	1.10504094219273e-09	1.61138059779447e-08	2.21008188316433e-09	2.14114354919407e-08	NA	"prevalence"	1527	876
"110"	"Clostridium fessum"	"Diagnosis"	"UC"	"diagnosisUC"	-0.96769113219533	0	0.159339431271413	1.25430759280506e-09	1.81549410099339e-08	2.50861518403682e-09	2.40827057667535e-08	NA	"prevalence"	1527	926
"111"	"Ruminococcus torques"	"Read depth"	"Read depth"	"reads"	0.390322704999764	0	0.0642887619077534	1.26800943542803e-09	1.8218312035488e-08	2.5360188692482e-09	2.41264497831181e-08	NA	"prevalence"	1527	1093
"112"	"Clostridium sp. AF20 17LB"	"Dysbiosis"	"CD"	"dysbiosis_statedysbiosis_CD"	-2.55065801720366	0	0.420933648736136	1.36524008934279e-09	1.94721104713563e-08	2.7304801768217e-09	2.57445273814617e-08	NA	"prevalence"	1527	654
"113"	"GGB33469 SGB15236"	"Age"	"Age"	"age"	0.382017643381418	0	0.0631544446073691	1.45799117060185e-09	2.06443097634494e-08	2.91598233907796e-09	2.72502420359852e-08	NA	"prevalence"	1527	293
